"date","username","product","sku","model","quantity","unit_type","applied_cost_per_quantity","gross_amount","discount_amount","net_amount","exceeds_quota","total_monthly_quota","organization","cost_center_name"
"2026-03-27","math-lish","copilot","copilot_premium_request","Claude Opus 4.6","36","requests","0.04","1.4400000000000004","1.4400000000000004","0","False","300","",""
"2026-03-27","math-lish","copilot","copilot_premium_request","Claude Sonnet 4.6","1","requests","0.04","0.04","0.04","0","False","300","",""
"2026-03-27","math-lish","copilot","copilot_premium_request","Code Review model","1","requests","0.04","0.04","0.04","0","False","300","",""
"2026-03-27","math-lish","copilot","coding_agent_premium_request","Coding Agent model","5","requests","0.04","0.2","0.2","0","False","300","",""
"2026-03-27","math-lish","copilot","copilot_premium_request","GPT-5.4 mini","8.58","requests","0.04","0.34319999999999984","0.34319999999999984","0","False","300","",""
"2026-03-28","math-lish","copilot","copilot_premium_request","Claude Opus 4.6","12","requests","0.04","0.48","0.48","0","False","300","",""
"2026-03-28","math-lish","copilot","copilot_premium_request","Claude Sonnet 4.6","4","requests","0.04","0.16","0.16","0","False","300","",""
"2026-03-28","math-lish","copilot","coding_agent_premium_request","Coding Agent model","5","requests","0.04","0.2","0.2","0","False","300","",""
"2026-03-28","math-lish","copilot","copilot_premium_request","Gemini 3.1 Pro","5","requests","0.04","0.2","0.2","0","False","300","",""
"2026-03-29","math-lish","copilot","copilot_premium_request","Claude Opus 4.6","18","requests","0.04","0.72","0.72","0","False","300","",""
"2026-03-29","math-lish","copilot","copilot_premium_request","Claude Sonnet 4.6","2","requests","0.04","0.08","0.08","0","False","300","",""
"2026-03-29","math-lish","copilot","copilot_premium_request","Code Review model","1","requests","0.04","0.04","0.04","0","False","300","",""
"2026-03-29","math-lish","copilot","coding_agent_premium_request","Coding Agent model","5","requests","0.04","0.2","0.2","0","False","300","",""
"2026-03-30","math-lish","copilot","copilot_premium_request","Claude Opus 4.6","63","requests","0.04","2.5200000000000014","2.5200000000000014","0","False","300","",""
"2026-03-30","math-lish","copilot","copilot_premium_request","Claude Sonnet 4.6","32","requests","0.04","1.2800000000000005","1.2800000000000005","0","False","300","",""
"2026-03-30","math-lish","copilot","coding_agent_premium_request","Coding Agent model","4","requests","0.04","0.16","0.16","0","False","300","",""
"2026-03-31","math-lish","copilot","copilot_premium_request","Claude Opus 4.6","92.42","requests","0.04","3.6968000000000023","3.6968000000000023","0","False","300","",""
"2026-03-31","math-lish","copilot","copilot_premium_request","Claude Sonnet 4.6","3","requests","0.04","0.12","0.12","0","False","300","",""
"2026-03-31","math-lish","copilot","coding_agent_premium_request","Coding Agent model","2","requests","0.04","0.08","0.08","0","False","300","",""
